px,py,vx,vy,px_meas,py_meas,px_true,py_true,vx_truevy_true
77.1137,24.9391,2.23161,-1.40143,77.1386,25.2948,77.1475,25.1137,1.9408,-0.0566978
79.11,25.0261,1.89077,1.13308,79.1089,25.0369,79.0861,25.0086,1.83649,-0.145607
79.0733,25.0143,1.6207,1.0509,79.1718,24.9698,79.0861,25.0086,1.83649,-0.145607
80.8072,24.8774,1.75043,-0.976398,80.8074,24.8688,80.9183,24.8178,1.73008,-0.223536
80.8646,24.8951,1.84873,-0.945524,81.1423,24.8704,80.9183,24.8178,1.73008,-0.223536
82.622,24.6344,1.72227,0.220687,82.6216,24.6393,82.6423,24.5525,1.6235,-0.29012
82.5829,24.6228,1.52141,0.164857,82.5085,24.8114,82.6423,24.5525,1.6235,-0.29012
84.1729,24.5521,1.63687,-0.233514,84.1733,24.5504,84.2584,24.2245,1.51869,-0.345444
84.1795,24.554,1.63643,-0.233415,84.2898,24.3312,84.2584,24.2245,1.51869,-0.345444
85.6398,23.8118,1.26154,-1.11586,85.6378,23.808,85.7688,23.8451,1.41749,-0.390006
85.7254,23.8353,1.54876,-1.04226,85.9743,23.7547,85.7688,23.8451,1.41749,-0.390006
86.9475,23.5219,0.966754,0.181554,86.9449,23.527,87.1776,23.4252,1.32159,-0.424654
87.0598,23.5522,1.13558,0.228548,87.6171,23.5127,87.1776,23.4252,1.32159,-0.424654
88.8174,22.7937,2.27235,-1.41696,88.8227,22.7869,88.4904,22.9745,1.23248,-0.450514
88.6885,22.7614,1.74301,-1.5368,88.4191,22.9498,88.4904,22.9745,1.23248,-0.450514
89.5048,22.3009,0.0189409,0.242268,89.4967,22.3082,89.7145,22.5017,1.15138,-0.468904
89.634,22.3334,0.577504,0.375156,89.7821,22.4826,89.7145,22.5017,1.15138,-0.468904
90.511,21.675,1.09387,-1.36941,90.5133,21.6677,90.858,22.0141,1.07929,-0.481241
90.6025,21.6969,1.31797,-1.31731,90.8419,22.0974,90.858,22.0141,1.07929,-0.481241
91.7193,21.1101,0.97129,-0.0840274,91.7178,21.1152,91.9302,21.5174,1.01698,-0.488964
91.7767,21.1234,0.980676,-0.0783865,92.0492,21.5289,91.9302,21.5174,1.01698,-0.488964
92.859,20.9543,1.17213,-0.227141,92.8599,20.9537,92.9411,21.016,0.964993,-0.493443
92.9079,20.9655,1.07741,-0.244979,93.3186,21.0712,92.9411,21.016,0.964993,-0.493443
93.472,20.2194,0.056096,-1.12672,93.4668,20.2155,93.9011,20.513,0.92369,-0.495919
93.6324,20.2535,0.801143,-0.981257,93.7423,20.5071,93.9011,20.513,0.92369,-0.495919
95.3144,19.6553,2.52725,-0.282528,95.3229,19.6585,94.8209,20.01,0.893308,-0.497439
95.0096,19.5931,1.23193,-0.523994,94.494,19.8854,94.8209,20.01,0.893308,-0.497439
95.5105,19.6943,-0.152545,0.501965,95.5039,19.6984,95.7116,19.5078,0.87398,-0.498816
95.612,19.7155,0.429995,0.62337,95.6097,19.5804,95.7116,19.5078,0.87398,-0.498816
96.2625,19.168,0.797528,-1.35678,96.2641,19.1597,96.5842,19.0065,0.865773,-0.500589
96.3222,19.1797,0.977091,-1.32316,96.559,18.8688,96.5842,19.0065,0.865773,-0.500589
97.5261,18.7206,1.45915,0.15709,97.5286,18.727,97.45,18.506,0.868716,-0.503009
97.4437,18.7047,1.01494,0.0779899,97.5333,18.1735,97.45,18.506,0.868716,-0.503009
98.213,18.3769,0.519281,-0.62334,98.2105,18.3739,98.3198,18.0049,0.882805,-0.506023
98.2755,18.3884,0.780082,-0.577434,98.4162,18.1556,98.3198,18.0049,0.882805,-0.506023
99.0367,17.3602,0.72246,-1.3442,99.0363,17.357,99.2049,17.503,0.908006,-0.509278
99.0751,17.3665,1.02799,-1.30138,98.9782,17.2949,99.2049,17.503,0.908006,-0.509278
99.9975,16.9817,0.863134,0.250308,99.9969,16.9882,100.117,17.0001,0.944242,-0.512134
100.056,16.9916,0.862825,0.2522,100.441,16.9521,100.117,17.0001,0.944242,-0.512134
